id,Movie_id,Person_id
1,0111161,0000209
2,0111161,0000151
3,0111161,0348409
4,0068646,0000008
5,0068646,0000199
6,0068646,0001001
7,0468569,0000288
8,0468569,0005132
9,0468569,0001173
10,0071562,0000199
11,0071562,0000134
12,0071562,0000380
13,0050083,0000020
14,0050083,0002011
15,0050083,0000842
16,0108052,0000553
17,0108052,0000146
18,0108052,0001426
19,0167260,0000704
20,0167260,0001557
21,0167260,0005212
22,0110912,0000237
23,0110912,0000235
24,0110912,0000168
25,0120737,0000704
26,0120737,0005212
27,0120737,0089217
28,0060196,0000142
29,0060196,0908919
30,0060196,0001812
31,0109830,0000158
32,0109830,0000705
33,0109830,0000641
34,0137523,0000093
35,0137523,0001570
36,0137523,0001533
37,0167261,0000704
38,0167261,0005212
39,0167261,0001557
40,1375666,0000138
41,1375666,0330687
42,1375666,0680983
43,0080684,0000434
44,0080684,0000148
45,0080684,0000402
46,0133093,0000206
47,0133093,0000401
48,0133093,0005251
49,0099685,0000134
50,0099685,0000501
51,0099685,0000582
52,0073486,0000197
53,0073486,0001221
54,0073486,0077720
55,0114369,0000151
56,0114369,0000093
57,0114369,0000228
58,0038650,0000071
59,0038650,0001656
60,0038650,0000859
61,0047478,0001536
62,0047478,0793766
63,0047478,0875477
64,0102926,0000149
65,0102926,0000164
66,0102926,0095029
67,0120815,0000158
68,0120815,0000354
69,0120815,0001744
70,0317248,1179105
71,0317248,1129884
72,0317248,0618690
73,0816692,0000190
74,0816692,0004266
75,0816692,1567113
76,0118799,0000905
77,0118799,0000971
78,0118799,0134493
79,0120689,0000158
80,0120689,0003817
81,0120689,0001556
82,0076759,0000434
83,0076759,0000148
84,0076759,0000402
85,0103064,0000216
86,0103064,0000157
87,0103064,0000411
88,0088763,0000150
89,0088763,0000502
90,0088763,0000670
91,0245429,0153738
92,0245429,0687189
93,0245429,0997115
94,0253474,0004778
95,0253474,0470981
96,0253474,0277975
97,0054215,0000578
98,0054215,0001463
99,0054215,0587256
100,6751668,0814280
101,6751668,1310525
102,6751668,1856097
103,0110413,0000606
104,0110413,0000198
105,0110413,0000204
106,0110357,0000111
107,0110357,0000460
108,0110357,0000469
109,0172495,0000128
110,0172495,0001618
111,0172495,0001567
112,0120586,0001570
113,0120586,0000411
114,0120586,0000350
115,0407887,0000138
116,0407887,0000354
117,0407887,0000197
118,2582802,1886602
119,2582802,0799777
120,2582802,2552034
121,0482571,0000288
122,0482571,0413168
123,0482571,0424060
124,0114814,0000228
125,0114814,0000321
126,0114814,0001590
127,0034583,0000007
128,0034583,0000006
129,0034583,0002134
130,0095327,0851302
131,0095327,0794186
132,0095327,0945312
133,0056058,0619938
134,0056058,0410968
135,0056058,0412615
136,1675434,0167388
137,1675434,1082477
138,1675434,0494504
139,0027977,0000122
140,0027977,0002104
141,0027977,0074788
142,0064116,0000020
143,0064116,0000314
144,0064116,0001012
145,0095765,0634159
146,0095765,0134073
147,0095765,0041066
148,0047396,0000071
149,0047396,0000038
150,0047396,0179819
151,0078748,0000244
152,0078748,0000643
153,0078748,0000457
154,0021749,0000122
155,0021749,0156039
156,0021749,5681967
157,0078788,0000640
158,0078788,0000008
159,0078788,0000380
160,0209144,0001602
161,0209144,0005251
162,0209144,0001592
163,1853728,0004937
164,1853728,0910607
165,1853728,0000138
166,0082971,0000148
167,0082971,0000261
168,0082971,0293550
169,0910970,0123785
170,0910970,2264184
171,0910970,0307531
172,0405094,0618057
173,0405094,0311476
174,0405094,0462407
175,0043014,0000034
176,0043014,0841797
177,0043014,0002233
178,0050825,0000018
179,0050825,0576127
180,0050825,0579663
181,0081505,0000197
182,0081505,0001167
183,0081505,0515950
184,0032553,0000122
185,0032553,0002104
186,0032553,0642988
187,4154756,0000375
188,4154756,1165110
189,4154756,0749263
190,0051201,0000061
191,0051201,0000017
192,0051201,0001452
193,0090605,0000244
194,0090605,0000299
195,0090605,0001343
196,4633694,4271336
197,4633694,2159926
198,4633694,2794962
199,0169547,0000228
200,0169547,0000906
201,0169547,0000301
202,0057012,0000634
203,0057012,0001715
204,0057012,0001330
205,1345836,0000288
206,1345836,0362766
207,1345836,0004266
208,0364569,0158856
209,0364569,0949167
210,0364569,1367246
211,0361748,0000093
212,0361748,1208167
213,0361748,0744834
214,0086879,0000719
215,0086879,0001371
216,0086879,0000931
217,2380307,5645519
218,2380307,0305558
219,2380307,0000973
220,0114709,0000158
221,0114709,0000741
222,0114709,0725543
223,0112573,0000154
224,0112573,0000521
225,0112573,0001526
226,7286456,0001618
227,7286456,0000134
228,7286456,5939164
229,0082096,0001638
230,0082096,0344963
231,0082096,0921044
232,4154796,0000375
233,4154796,0262635
234,4154796,0749263
235,0119698,0559444
236,0119698,0410942
237,0119698,0849100
238,0087843,0000134
239,0087843,0000249
240,0087843,0001527
241,0119217,0000245
242,0119217,0000354
243,0119217,0000255
244,5311514,1126340
245,5311514,4759838
246,5311514,6954008
247,0045152,0000037
248,0045152,0640307
249,0045152,0001666
250,1187043,0451148
251,1187043,0534856
252,1187043,1587175
253,0180093,0000995
254,0180093,0001467
255,0180093,0000124
256,0057565,0001536
257,0057565,0755403
258,0057565,0619938
259,0435761,0000158
260,0435761,0000741
261,0435761,0000349
262,8267604,9862858
263,8267604,9862859
264,8267604,9862860
265,0086190,0000434
266,0086190,0000148
267,0086190,0000402
268,0062622,0001158
269,0062622,0516972
270,0062622,0843213
271,0338013,0000120
272,0338013,0000701
273,0338013,0929489
274,0091251,0470385
275,0091251,0592500
276,0091251,0490708
277,0105236,0000172
278,0105236,0000619
279,0105236,0000514
280,2106476,0586568
281,2106476,0488917
282,2106476,5038871
283,0033467,0000080
284,0033467,0001072
285,0033467,0173827
286,0056172,0000564
287,0056172,0000027
288,0056172,0000063
289,0022100,0000048
290,0022100,0927145
291,0022100,0484737
292,0044741,0793766
293,0044741,0437520
294,0044741,0385443
295,0053125,0000026
296,0053125,0001693
297,0053125,0000051
298,0052357,0000071
299,0052357,0001571
300,0052357,0000895
301,0053604,0000493
302,0053604,0000511
303,0053604,0534045
304,0211915,0851582
305,0211915,0440913
306,0211915,0749363
307,0036775,0534045
308,0036775,0001766
309,0036775,0000064
310,0066921,0000532
311,0066921,0535861
312,0066921,0060988
313,0093058,0000546
314,0093058,0000388
315,0093058,0000352
316,0086250,0000199
317,0086250,0000201
318,0086250,0000874
319,8503618,0592135
320,8503618,5623883
321,8503618,1502434
322,1255953,0044073
323,1255953,0246386
324,1255953,0309945
325,0113277,0000199
326,0113277,0000134
327,0113277,0000174
328,0056592,0000060
329,0056592,0576345
330,0056592,0653942
331,1049413,0000799
332,1049413,2973712
333,1049413,0001652
334,0070735,0000056
335,0070735,0000602
336,0070735,0001727
337,1832382,1818216
338,1832382,0368689
339,1832382,4299147
340,0017136,0375609
341,0017136,0002154
342,0017136,0297054
343,0119488,0000228
344,0119488,0000128
345,0119488,0001602
346,0075314,0000134
347,0075314,0000149
348,0075314,0001732
349,0095016,0000246
350,0095016,0000614
351,0095016,0000889
352,0097576,0000148
353,0097576,0000125
354,0097576,0233145
355,0208092,0005458
356,0208092,0000093
357,0208092,0334318
358,0040522,0536009
359,0040522,0821543
360,0040522,0136794
361,0986264,2594301
362,0986264,0451148
363,0986264,2540053
364,8579674,2835616
365,8579674,1126657
366,8579674,0990547
367,1745960,0000129
368,1745960,0000124
369,1745960,1886602
370,0363163,0004486
371,0363163,0487884
372,0363163,0559890
373,5074352,0451148
374,5074352,2799219
375,5074352,0760778
376,0059578,0000142
377,0059578,0001812
378,0059578,0002231
379,0372784,0000288
380,0372784,0000323
381,0372784,0913822
382,0012349,0000122
383,0012349,0701012
384,0012349,0001067
385,0053291,0000054
386,0053291,0000348
387,0053291,0000493
388,10272386,0000164
389,10272386,1469236
390,10272386,0309693
391,0042192,0000012
392,0042192,0000879
393,0042192,0001695
394,0993846,0000138
395,0993846,1706767
396,0993846,3053338
397,6966692,0001557
398,6966692,0991810
399,6966692,0004802
400,0055031,0000075
401,0055031,0000044
402,0055031,0001847
403,0089881,0619938
404,0089881,0855417
405,0089881,0628704
406,0112641,0000134
407,0112641,0000232
408,0112641,0000582
409,0120382,0000120
410,0120382,0000438
411,0120382,0001473
412,0469494,0000358
413,0469494,0200452
414,0469494,0001354
415,0457430,1419440
416,0457430,0317725
417,0457430,0530365
418,0105695,0000142
419,0105695,0000432
420,0105695,0000151
421,0167404,0000246
422,0167404,0005286
423,0167404,0001057
424,1130884,0000138
425,1130884,0607865
426,1130884,0749263
427,0268978,0000128
428,0268978,0000438
429,0268978,0000124
430,0107290,0000554
431,0107290,0000368
432,0107290,0000156
433,0055630,0001536
434,0055630,0867391
435,0055630,0619938
436,0040897,0000007
437,0040897,0404158
438,0040897,0392529
439,0071853,0001037
440,0071853,0000092
441,0071853,0001385
442,0477348,0000169
443,0477348,0000849
444,0477348,0000982
445,0266697,0000235
446,0266697,0001016
447,0266697,0000435
448,0057115,0000537
449,0057115,0001258
450,0057115,0000277
451,0042876,0001536
452,0042876,0477553
453,0042876,0605270
454,0084787,0000621
455,0084787,0000979
456,0084787,0202966
457,0266543,0000983
458,0266543,0001122
459,0266543,1071252
460,10872600,4043618
461,10872600,3918035
462,10872600,1212722
463,0080678,0000164
464,0080678,0000457
465,0080678,0000843
466,0071315,0000197
467,0071315,0001159
468,0071315,0001379
469,0081398,0000134
470,0081398,0001550
471,0081398,0000582
472,0434409,0915989
473,0434409,0000204
474,0434409,0001291
475,0031381,0000022
476,0031381,0000046
477,0031381,0593775
478,0120735,0002076
479,0120735,0002077
480,0120735,0602941
481,0046912,0001537
482,0046912,0000038
483,0046912,0191950
484,2096673,0688132
485,2096673,0352778
486,2096673,0085400
487,0347149,0047962
488,0347149,0454120
489,0347149,0309107
490,1305806,0201857
491,1305806,0897845
492,1305806,0706567
493,5027774,0000531
494,5027774,0000437
495,5027774,0005377
496,0117951,0000191
497,0117951,0001971
498,0117951,0001538
499,0050212,0000034
500,0050212,0000027
501,0050212,0370144
502,1392214,0413168
503,1392214,0350453
504,1392214,0205626
505,1291584,0362766
506,1291584,0000560
507,1291584,0249291
508,0116282,0000513
509,0116282,0000531
510,0116282,0000114
511,1205489,0000142
512,1205489,3057402
513,1205489,1542291
514,0264464,0000138
515,0264464,0000158
516,0264464,0000686
517,0096283,0847054
518,0096283,0383022
519,0096283,0757076
520,0405159,0005476
521,0405159,0000142
522,0405159,0000151
523,0118849,0619870
524,0118849,0268488
525,0118849,0781245
526,0083658,0000148
527,0083658,0000442
528,0083658,0000707
529,10366206,0000206
530,10366206,0000401
531,10366206,1745190
532,0015864,0000122
533,0015864,0841501
534,0015864,0615306
535,4729430,0005403
536,4729430,0799777
537,4729430,0429069
538,1201607,0705356
539,1201607,0914612
540,1201607,0342488
541,0112471,0000160
542,0112471,0000365
543,0112471,0248600
544,2024544,0252230
545,2024544,0931324
546,2024544,1055413
547,0052618,0000032
548,0052618,0370144
549,0052618,0000963
550,2278388,0000146
551,2278388,0000719
552,2278388,0023832
553,0047296,0000008
554,0047296,0001500
555,0047296,0002011
556,2267998,0000255
557,2267998,0683253
558,2267998,0000439
559,0050986,0803705
560,0050986,0000761
561,0050986,0862026
562,0017925,0000036
563,0017925,0533045
564,0017925,0147070
565,0072684,0641939
566,0072684,0001943
567,0072684,0535861
568,0107207,0000358
569,0107207,0000592
570,0107207,0188949
571,0077416,0000134
572,0077416,0000686
573,0077416,0001030
574,0041959,0000080
575,0041959,0001072
576,0041959,0885098
577,2119532,1940449
578,2119532,0941777
579,2119532,3478396
580,0046268,0598971
581,0046268,0889024
582,0046268,0886870
583,0353969,0814280
584,0353969,1235292
585,0353969,1323287
586,3011894,0334882
587,3011894,0555404
588,3011894,0897640
589,0015324,0000036
590,0015324,0570230
591,0015324,0444172
592,0031679,0000071
593,0031679,0000795
594,0031679,0001647
595,1392190,0362766
596,1392190,0000234
597,1392190,0396558
598,0978762,0001057
599,0978762,0000450
600,0978762,0051509
601,0050976,0001884
602,0050976,0085038
603,0050976,0252345
604,0892769,0059431
605,0892769,0124930
606,0892769,2395586
607,0198781,0000345
608,0198781,0000422
609,0198781,0316701
610,0097165,0000245
611,0097165,0000494
612,0097165,0000160
613,0073195,0001702
614,0073195,0001727
615,0073195,0000377
616,3170832,0488953
617,3170832,5016878
618,3170832,0108703
619,0118715,0000313
620,0118715,0000422
621,0118715,0000194
622,0046438,0753479
623,0046438,0383261
624,0046438,0945522
625,0019254,0266029
626,0019254,0798564
627,0019254,0075551
628,1950186,0000354
629,1950186,0000288
630,1950186,1256532
631,0395169,0000332
632,0395169,0645683
633,0395169,0001618
634,0075148,0000230
635,0075148,0001735
636,0075148,0949350
637,0382932,0004951
638,0382932,0738918
639,0382932,0652663
640,0091763,0000221
641,0091763,0000297
642,0091763,0000353
643,1895587,0749263
644,1895587,0000474
645,1895587,1046097
646,3315342,0413168
647,3315342,0001772
648,3315342,6748436
649,0088247,0000216
650,0088247,0000157
651,0088247,0000299
652,0092005,0000696
653,0092005,0000203
654,0092005,0000397
655,1979320,0117709
656,1979320,1165110
657,1979320,1312575
658,0074958,0001159
659,0074958,0000034
660,0074958,0002075
661,0381681,0000160
662,0381681,0000365
663,0381681,0229943
664,0758758,0386472
665,0758758,0000681
666,0758758,0001416
667,0032138,0000023
668,0032138,0604656
669,0032138,0001961
670,0036868,0001485
671,0036868,0000763
672,0036868,0545298
673,0070047,0000995
674,0070047,0001884
675,0070047,0000304
676,0107048,0000195
677,0107048,0000510
678,0107048,0254402
679,0317705,0005266
680,0317705,0000168
681,0317705,0000456
682,0035446,0001479
683,0035446,0000912
684,0035446,0821041
685,0113247,0001993
686,0113247,0468003
687,0113247,0846548
688,0325980,0000136
689,0325980,0001691
690,0325980,0089217
691,0048473,0052333
692,0048473,0052334
693,0048473,0052343
694,0058946,0352835
695,0058946,0552483
696,0058946,0754272
697,1028532,0000152
698,1028532,0000260
699,1028532,0846480
700,0032551,0000020
701,0032551,0002034
702,0032551,0001017
703,15097216,1421814
704,15097216,7934649
705,15097216,8904193
706,0476735,1002038
707,0476735,0476334
708,0476735,0406157
709,0245712,0248408
710,0245712,0305558
711,0245712,0865949
712,0032976,0000059
713,0032976,0000021
714,0032976,0001695
715,4016934,1195119
716,4016934,1978402
717,4016934,2437361
718,0061512,0000056
719,0061512,0001421
720,0061512,0001510
721,0059742,0000267
722,0059742,0001626
723,0059742,0662223
724,0025316,0000022
725,0025316,0001055
726,0025316,0175369
727,0053198,0529543
728,0053198,0753716
729,0053198,0561158
730,0060827,0000761
731,0060827,0880521
732,0060827,0472234
733,0079470,0001037
734,0079470,0000092
735,0079470,0001589
736,0129167,0547349
737,0129167,0001065
738,0129167,0000098
739,1454029,0205626
740,1454029,1297015
741,1454029,0818055
742,0103639,0918334
743,0103639,0000245
744,0103639,0488306
745,0071411,0613364
746,0071411,0813272
747,0071411,0125730
748,0099348,0000126
749,0099348,0001521
750,0099348,0001295
751,0099348,0000209
752,0099348,0000151
753,0099348,0348409
754,0099348,0000008
755,0099348,0000199
756,0099348,0001001
757,0099348,0000288
758,0099348,0005132
759,0099348,0001173
760,0099348,0000199
761,0099348,0000134
762,0099348,0000380
763,0099348,0000020
764,0099348,0002011
765,0099348,0000842
766,0099348,0000553
767,0099348,0000146
768,0099348,0001426
769,0099348,0000704
770,0099348,0001557
771,0099348,0005212
772,0099348,0000237
773,0099348,0000235
774,0099348,0000168
775,0099348,0000704
776,0099348,0005212
777,0099348,0089217
778,0099348,0000142
779,0099348,0908919
780,0099348,0001812
781,0099348,0000158
782,0099348,0000705
783,0099348,0000641
784,0099348,0000093
785,0099348,0001570
786,0099348,0001533
787,0099348,0000704
788,0099348,0005212
789,0099348,0001557
790,0099348,0000138
791,0099348,0330687
792,0099348,0680983
793,0099348,0000434
794,0099348,0000148
795,0099348,0000402
796,0099348,0000206
797,0099348,0000401
798,0099348,0005251
799,0099348,0000134
800,0099348,0000501
801,0099348,0000582
802,0099348,0000197
803,0099348,0001221
804,0099348,0077720
805,0099348,0000151
806,0099348,0000093
807,0099348,0000228
808,0099348,0000071
809,0099348,0001656
810,0099348,0000859
811,0099348,0001536
812,0099348,0793766
813,0099348,0875477
