id,Title,Year,Runtime,Parental_Guide,Gross_US_Canda
0111161,The Shawshank Redemption,1994.0,142.0,R,28767189
0068646,The Godfather,1972.0,175.0,R,136381073
0468569,The Dark Knight,2008.0,152.0,PG-13,534987076
0071562,The Godfather Part II,1974.0,202.0,R,47834595
0050083,12 Angry Men,1957.0,96.0,Approved,955
0108052,Schindler's List,1993.0,195.0,R,96898818
0167260,The Lord of the Rings: The Return of the King,2003.0,201.0,PG-13,379427292
0110912,Pulp Fiction,1994.0,154.0,R,107928762
0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0,178.0,PG-13,316115420
0060196,"Il buono, il brutto, il cattivo",1966.0,161.0,Approved,25100000
0109830,Forrest Gump,1994.0,142.0,PG-13,330455270
0137523,Fight Club,1999.0,139.0,R,37030102
0167261,The Lord of the Rings: The Two Towers,2002.0,179.0,PG-13,342952511
1375666,Inception,2010.0,148.0,PG-13,292587330
0080684,The Empire Strikes Back,1980.0,124.0,PG,292753960
0133093,The Matrix,1999.0,136.0,R,172076928
0099685,GoodFellas,1990.0,145.0,R,46909721
0073486,One Flew Over the Cuckoo's Nest,1975.0,133.0,R,108981275
0114369,Se7en,1995.0,127.0,R,100125643
0038650,It's a Wonderful Life,1946.0,130.0,PG,1483643
0047478,Shichinin no samurai,1954.0,207.0,Unrated,318649
0102926,The Silence of the Lambs,1991.0,118.0,R,130742922
0120815,Saving Private Ryan,1998.0,169.0,R,217049603
0317248,Cidade de Deus,2002.0,130.0,R,7564459
0816692,Interstellar,2014.0,169.0,PG-13,188020017
0118799,La vita è bella,1997.0,116.0,PG-13,57563264
0120689,The Green Mile,1999.0,189.0,R,136801374
0076759,Star Wars,1977.0,121.0,PG,460998507
0103064,Terminator 2: Judgment Day,1991.0,137.0,18+,205881154
0088763,Back to the Future,1985.0,116.0,PG,212836762
0245429,Sen to Chihiro no kamikakushi,2001.0,125.0,PG,13750644
0253474,The Pianist,2002.0,150.0,R,32572577
0054215,Psycho,1960.0,109.0,R,32000000
6751668,Gisaengchung,2019.0,132.0,R,53369749
0110413,Léon,1994.0,110.0,R,19501238
0110357,The Lion King,1994.0,88.0,G,422783777
0172495,Gladiator,2000.0,155.0,R,187705427
0120586,American History X,1998.0,119.0,R,6719864
0407887,The Departed,2006.0,151.0,18+,132399394
2582802,Whiplash,2014.0,106.0,R,13092000
0482571,The Prestige,2006.0,130.0,PG-13,53089891
0114814,The Usual Suspects,1995.0,106.0,R,23341568
0034583,Casablanca,1942.0,102.0,PG,4219709
0095327,Hotaru no haka,1988.0,89.0,Unrated,516962
0056058,Seppuku,1962.0,133.0,Unrated,516962
1675434,Intouchables,2011.0,112.0,R,10198820
0027977,Modern Times,1936.0,87.0,G,163577
0064116,C'era una volta il West,1968.0,165.0,PG-13,5321508
0095765,Nuovo Cinema Paradiso,1988.0,155.0,PG,12397210
0047396,Rear Window,1954.0,112.0,PG,36764313
0078748,Alien,1979.0,117.0,R,81900459
0021749,City Lights,1931.0,87.0,G,19181
0078788,Apocalypse Now,1979.0,147.0,R,96042913
0209144,Memento,2000.0,113.0,R,25544867
1853728,Django Unchained,2012.0,165.0,R,162805434
0082971,Raiders of the Lost Ark,1981.0,115.0,PG,248159971
0910970,WALL·E,2008.0,98.0,G,223808164
0405094,Das Leben der Anderen,2006.0,137.0,R,11286112
0043014,Sunset Blvd.,1950.0,110.0,Passed,299645
0050825,Paths of Glory,1957.0,88.0,Approved,5252
0081505,The Shining,1980.0,146.0,R,45634352
0032553,The Great Dictator,1940.0,125.0,G,970263
4154756,Avengers: Infinity War,2018.0,149.0,PG-13,678815482
0051201,Witness for the Prosecution,1957.0,116.0,Approved,7693
0090605,Aliens,1986.0,137.0,R,85160248
4633694,Spider-Man: Into the Spider-Verse,2018.0,117.0,PG,190241310
0169547,American Beauty,1999.0,122.0,R,130096601
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,95.0,PG,9440272
1345836,The Dark Knight Rises,2012.0,164.0,PG-13,448149584
0364569,Oldeuboi,2003.0,120.0,R,707481
0361748,Inglourious Basterds,2009.0,153.0,R,120540719
0086879,Amadeus,1984.0,160.0,PG,51973029
2380307,Coco,2017.0,105.0,PG,210460015
0114709,Toy Story,1995.0,81.0,G,223225679
0112573,Braveheart,1995.0,178.0,R,75609945
7286456,Joker,2019.0,122.0,R,335477657
0082096,Das Boot,1981.0,149.0,Unrated,11487676
4154796,Avengers: Endgame,2019.0,181.0,PG-13,858373000
0119698,Mononoke-hime,1997.0,134.0,PG-13,4845631
0087843,Once Upon a Time in America,1984.0,229.0,R,5321508
0119217,Good Will Hunting,1997.0,126.0,R,138433435
5311514,Kimi no na wa.,2016.0,106.0,TV-PG,5017246
0045152,Singin' in the Rain,1952.0,103.0,G,1884537
1187043,3 Idiots,2009.0,170.0,PG-13,6532874
0180093,Requiem for a Dream,2000.0,102.0,Unrated,3635482
0057565,Tengoku to jigoku,1963.0,143.0,Unrated,15942
0435761,Toy Story 3,2010.0,103.0,G,415004880
8267604,Capharnaüm,2018.0,126.0,R,1661096
0086190,Star Wars: Episode VI - Return of the Jedi,1983.0,131.0,PG,309306177
0062622,2001: A Space Odyssey,1968.0,149.0,G,60481243
0338013,Eternal Sunshine of the Spotless Mind,2004.0,108.0,R,34400301
0091251,Idi i smotri,1985.0,142.0,Unrated,16053
0105236,Reservoir Dogs,1992.0,99.0,R,2832029
2106476,Jagten,2012.0,115.0,R,613308
0033467,Citizen Kane,1941.0,119.0,PG,1627530
0056172,Lawrence of Arabia,1962.0,218.0,Approved,45306425
0022100,M - Eine Stadt sucht einen Mörder,1931.0,117.0,Passed,6123
0044741,Ikiru,1952.0,143.0,Unrated,2149
0053125,North by Northwest,1959.0,136.0,Approved,66728
0052357,Vertigo,1958.0,128.0,PG,7705225
0053604,The Apartment,1960.0,125.0,Approved,18600000
0211915,Le fabuleux destin d'Amélie Poulain,2001.0,122.0,R,33225499
0036775,Double Indemnity,1944.0,107.0,Passed,14651
0066921,A Clockwork Orange,1971.0,136.0,X,26617553
0093058,Full Metal Jacket,1987.0,116.0,R,46357676
0086250,Scarface,1983.0,170.0,R,45408703
8503618,Hamilton,2020.0,160.0,PG-13,45408703
1255953,Incendies,2010.0,131.0,R,2071334
0113277,Heat,1995.0,170.0,R,67436818
0056592,To Kill a Mockingbird,1962.0,129.0,Approved,592237
1049413,Up,2009.0,96.0,PG,293004164
0070735,The Sting,1973.0,129.0,PG,156000000
1832382,Jodaeiye Nader az Simin,2011.0,123.0,PG-13,7099055
0017136,Metropolis,1927.0,153.0,Unrated,1236166
0119488,L.A. Confidential,1997.0,138.0,R,64616940
0075314,Taxi Driver,1976.0,114.0,R,28262574
0095016,Die Hard,1988.0,132.0,R,83844093
0097576,Indiana Jones and the Last Crusade,1989.0,127.0,PG-13,197171806
0208092,Snatch,2000.0,104.0,R,30328156
0040522,Ladri di biciclette,1948.0,89.0,Unrated,371111
0986264,Taare Zameen Par,2007.0,165.0,PG,352568
8579674,1917,2019.0,119.0,R,159227644
1745960,Top Gun: Maverick,2022.0,130.0,PG-13,718732821
0363163,Der Untergang,2004.0,156.0,R,5509040
5074352,Dangal,2016.0,161.0,Unrated,12391761
0059578,Per qualche dollaro in più,1965.0,132.0,R,15000000
0372784,Batman Begins,2005.0,140.0,PG-13,206863479
0012349,The Kid,1921.0,68.0,Passed,41960
0053291,Some Like It Hot,1959.0,121.0,Passed,195088
10272386,The Father,2020.0,97.0,PG-13,2122771
0042192,All About Eve,1950.0,138.0,Passed,63463
0993846,The Wolf of Wall Street,2013.0,180.0,R,116900694
6966692,Green Book,2018.0,130.0,PG-13,85080171
0055031,Judgment at Nuremberg,1961.0,179.0,Approved,12180
0089881,Ran,1985.0,162.0,R,4135750
0112641,Casino,1995.0,178.0,R,42512375
0120382,The Truman Show,1998.0,103.0,PG,125618201
0469494,There Will Be Blood,2007.0,158.0,R,40222514
0457430,El laberinto del fauno,2006.0,118.0,R,37646380
0105695,Unforgiven,1992.0,130.0,R,101167799
0167404,The Sixth Sense,1999.0,107.0,PG-13,293506292
1130884,Shutter Island,2010.0,138.0,R,128012934
0268978,A Beautiful Mind,2001.0,135.0,PG-13,170742341
0107290,Jurassic Park,1993.0,127.0,PG-13,404214720
0055630,Yôjinbô,1961.0,110.0,Unrated,15942
0040897,The Treasure of the Sierra Madre,1948.0,126.0,Passed,5014000
0071853,Monty Python and the Holy Grail,1975.0,91.0,PG,1827696
0477348,No Country for Old Men,2007.0,122.0,R,74283625
0266697,Kill Bill: Vol. 1,2003.0,111.0,R,70099045
0057115,The Great Escape,1963.0,172.0,Approved,228178
0042876,Rashômon,1950.0,88.0,Unrated,46808
0084787,The Thing,1982.0,109.0,R,19629760
0266543,Finding Nemo,2003.0,100.0,G,380843261
10872600,Spider-Man: No Way Home,2021.0,148.0,PG-13,814115070
0080678,The Elephant Man,1980.0,124.0,PG,26010864
0071315,Chinatown,1974.0,130.0,R,29200000
0081398,Raging Bull,1980.0,129.0,R,23383987
0434409,V for Vendetta,2005.0,132.0,R,70511035
0031381,Gone with the Wind,1939.0,238.0,Passed,200882193
0120735,"Lock, Stock and Two Smoking Barrels",1998.0,107.0,R,3753929
0046912,Dial M for Murder,1954.0,105.0,PG,24845
2096673,Inside Out,2015.0,95.0,PG,356921711
0347149,Hauru no ugoku shiro,2004.0,119.0,PG,6789268
1305806,El secreto de sus ojos,2009.0,129.0,R,6391436
5027774,"Three Billboards Outside Ebbing, Missouri",2017.0,115.0,R,54513740
0117951,Trainspotting,1996.0,93.0,R,16491080
0050212,The Bridge on the River Kwai,1957.0,161.0,PG,27200000
1392214,Prisoners,2013.0,153.0,R,61002302
1291584,Warrior,2011.0,140.0,PG-13,13657115
0116282,Fargo,1996.0,98.0,R,24611975
1205489,Gran Torino,2008.0,116.0,R,148095302
0264464,Catch Me If You Can,2002.0,141.0,PG-13,164615351
0096283,Tonari no Totoro,1988.0,86.0,G,2250213
0405159,Million Dollar Baby,2004.0,132.0,PG-13,100492203
0118849,Bacheha-Ye aseman,1997.0,89.0,PG,933933
0083658,Blade Runner,1982.0,117.0,R,32914489
10366206,John Wick: Chapter 4,2023.0,169.0,R,168880254
0015864,The Gold Rush,1925.0,95.0,Passed,29328
4729430,Klaus,2019.0,96.0,PG,29328
1201607,Harry Potter and the Deathly Hallows: Part 2,2011.0,130.0,PG-13,381447587
0112471,Before Sunrise,1995.0,101.0,R,5535405
2024544,12 Years a Slave,2013.0,134.0,R,56671993
0052618,Ben-Hur,1959.0,212.0,G,74432704
2278388,The Grand Budapest Hotel,2014.0,99.0,R,59301324
0047296,On the Waterfront,1954.0,108.0,Approved,59301324
2267998,Gone Girl,2014.0,149.0,R,167767189
0050986,Smultronstället,1957.0,91.0,Unrated,167767189
0017925,The General,1926.0,67.0,Passed,167767189
0072684,Barry Lyndon,1975.0,185.0,PG,234077
0107207,In the Name of the Father,1993.0,133.0,R,25096862
0077416,The Deer Hunter,1978.0,183.0,R,48979328
0041959,The Third Man,1949.0,104.0,Approved,13576
2119532,Hacksaw Ridge,2016.0,139.0,R,67209615
0046268,Le salaire de la peur,1953.0,131.0,Unrated,67209615
0353969,Salinui chueok,2003.0,131.0,Unrated,15357
3011894,Relatos salvajes,2014.0,122.0,R,3106530
0015324,Sherlock Jr.,1924.0,45.0,Passed,3106530
0031679,Mr. Smith Goes to Washington,1939.0,129.0,Passed,144738
1392190,Mad Max: Fury Road,2015.0,120.0,R,154109060
0978762,Mary and Max.,2009.0,92.0,Unrated,1740429
0050976,Det sjunde inseglet,1957.0,96.0,Unrated,311212
0892769,How to Train Your Dragon,2010.0,98.0,PG,217581231
0198781,"Monsters, Inc.",2001.0,92.0,G,290642256
0097165,Dead Poets Society,1989.0,128.0,PG,95860116
0073195,Jaws,1975.0,124.0,PG,265859065
3170832,Room,2015.0,118.0,R,14677654
0118715,The Big Lebowski,1998.0,117.0,R,18254458
0046438,Tôkyô monogatari,1953.0,136.0,Unrated,18254458
0019254,La passion de Jeanne d'Arc,1928.0,110.0,Passed,6408
1950186,Ford v Ferrari,2019.0,152.0,PG-13,117624357
0395169,Hotel Rwanda,2004.0,121.0,PG-13,23530892
0075148,Rocky,1976.0,120.0,PG,117235147
0382932,Ratatouille,2007.0,111.0,G,206445654
0091763,Platoon,1986.0,120.0,R,138530565
1895587,Spotlight,2015.0,129.0,R,45055776
3315342,Logan,2017.0,137.0,R,226277068
0088247,The Terminator,1984.0,107.0,R,38371200
0092005,Stand by Me,1986.0,89.0,R,52287414
1979320,Rush,2013.0,123.0,R,26947624
0074958,Network,1976.0,121.0,R,23689877
0381681,Before Sunset,2004.0,80.0,R,5820649
0758758,Into the Wild,2007.0,148.0,R,18354356
0032138,The Wizard of Oz,1939.0,102.0,G,24668669
0036868,The Best Years of Our Lives,1946.0,170.0,Approved,23650000
0070047,The Exorcist,1973.0,122.0,R,233005644
0107048,Groundhog Day,1993.0,101.0,PG,71107962
0317705,The Incredibles,2004.0,115.0,PG,261441092
0035446,To Be or Not to Be,1942.0,99.0,Passed,4578000
0113247,La haine,1995.0,98.0,Unrated,280859
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,143.0,PG-13,305413918
0048473,Pather Panchali,1955.0,125.0,Unrated,16064
0058946,La battaglia di Algeri,1966.0,121.0,Unrated,879794
1028532,Hachi: A Dog's Tale,2009.0,93.0,G,46749646
0032551,The Grapes of Wrath,1940.0,129.0,Passed,46749646
15097216,Jai Bhim,2021.0,164.0,TV-MA,46749646
0476735,Babam ve Oglum,2005.0,112.0,Unrated,46749646
0245712,Amores perros,2000.0,154.0,R,5408467
0032976,Rebecca,1940.0,130.0,Approved,72275
4016934,Ah-ga-ssi,2016.0,145.0,Unrated,2006788
0061512,Cool Hand Luke,1967.0,127.0,GP,67
0059742,The Sound of Music,1965.0,172.0,G,159287539
0025316,It Happened One Night,1934.0,105.0,Passed,11477
0053198,Les quatre cents coups,1959.0,99.0,Unrated,11206
0060827,Persona,1966.0,85.0,Unrated,11206
0079470,Life of Brian,1979.0,94.0,R,20206622
0129167,The Iron Giant,1999.0,86.0,PG,23315035
1454029,The Help,2011.0,146.0,PG-13,169708112
0103639,Aladdin,1992.0,90.0,G,217350219
0071411,Dersu Uzala,1975.0,142.0,G,14480
0099348,Dances with Wolves,1990.0,181.0,PG-13,184208848
