id,title,year,runtime,parental_guide,gross_us_canda
0111161,The Shawshank Redemption,1994,142,R,"$28,767,189"
0068646,The Godfather,1972,175,R,"$136,381,073"
0468569,The Dark Knight,2008,152,PG-13,"$534,987,076"
0071562,The Godfather Part II,1974,202,R,"$47,834,595"
0050083,12 Angry Men,1957,96,Approved,$955
0108052,Schindler's List,1993,195,R,"$96,898,818"
0167260,The Lord of the Rings: The Return of the King,2003,201,PG-13,"$379,427,292"
0110912,Pulp Fiction,1994,154,R,"$107,928,762"
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,"$316,115,420"
0060196,"Il buono, il brutto, il cattivo",1966,161,Approved,"$25,100,000"
0109830,Forrest Gump,1994,142,PG-13,"$330,455,270"
0137523,Fight Club,1999,139,R,"$37,030,102"
0167261,The Lord of the Rings: The Two Towers,2002,179,PG-13,"$342,952,511"
1375666,Inception,2010,148,PG-13,"$292,587,330"
0080684,The Empire Strikes Back,1980,124,PG,"$292,753,960"
0133093,The Matrix,1999,136,R,"$172,076,928"
0099685,GoodFellas,1990,145,R,"$46,909,721"
0073486,One Flew Over the Cuckoo's Nest,1975,133,R,"$108,981,275"
0114369,Se7en,1995,127,R,"$100,125,643"
0038650,It's a Wonderful Life,1946,130,PG,"$1,483,643"
0047478,Shichinin no samurai,1954,207,Not Rated,"$318,649"
0102926,The Silence of the Lambs,1991,118,R,"$130,742,922"
0120815,Saving Private Ryan,1998,169,R,"$217,049,603"
0317248,Cidade de Deus,2002,130,R,"$7,564,459"
0816692,Interstellar,2014,169,PG-13,"$188,020,017"
0118799,La vita è bella,1997,116,PG-13,"$57,563,264"
0120689,The Green Mile,1999,189,R,"$136,801,374"
0076759,Star Wars,1977,121,PG,"$460,998,507"
0103064,Terminator 2: Judgment Day,1991,137,18+,"$205,881,154"
0088763,Back to the Future,1985,116,PG,"$212,836,762"
0245429,Sen to Chihiro no kamikakushi,2001,125,PG,"$13,750,644"
0253474,The Pianist,2002,150,R,"$32,572,577"
0054215,Psycho,1960,109,R,"$32,000,000"
6751668,Gisaengchung,2019,132,R,"$53,369,749"
0110413,Léon,1994,110,R,"$19,501,238"
0110357,The Lion King,1994,88,G,"$422,783,777"
0172495,Gladiator,2000,155,R,"$187,705,427"
0120586,American History X,1998,119,R,"$6,719,864"
0407887,The Departed,2006,151,18+,"$132,399,394"
2582802,Whiplash,2014,106,R,"$13,092,000"
0482571,The Prestige,2006,130,PG-13,"$53,089,891"
0114814,The Usual Suspects,1995,106,R,"$23,341,568"
0034583,Casablanca,1942,102,PG,"$4,219,709"
0095327,Hotaru no haka,1988,89,Not Rated,"$516,962"
0056058,Seppuku,1962,133,Not Rated,2.35 : 1
1675434,Intouchables,2011,112,R,"$10,198,820"
0027977,Modern Times,1936,87,G,"$163,577"
0064116,C'era una volta il West,1968,165,PG-13,"$5,321,508"
0095765,Nuovo Cinema Paradiso,1988,155,PG,"$12,397,210"
0047396,Rear Window,1954,112,PG,"$36,764,313"
0078748,Alien,1979,117,R,"$81,900,459"
0021749,City Lights,1931,87,G,"$19,181"
0078788,Apocalypse Now,1979,147,R,"$96,042,913"
0209144,Memento,2000,113,R,"$25,544,867"
1853728,Django Unchained,2012,165,R,"$162,805,434"
0082971,Raiders of the Lost Ark,1981,115,PG,"$248,159,971"
0910970,WALL·E,2008,98,G,"$223,808,164"
0405094,Das Leben der Anderen,2006,137,R,"$11,286,112"
0043014,Sunset Blvd.,1950,110,Passed,"$299,645"
0050825,Paths of Glory,1957,88,Approved,"$5,252"
0081505,The Shining,1980,146,R,"$45,634,352"
0032553,The Great Dictator,1940,125,G,"$970,263"
4154756,Avengers: Infinity War,2018,149,PG-13,"$678,815,482"
0051201,Witness for the Prosecution,1957,116,Approved,"$7,693"
0090605,Aliens,1986,137,R,"$85,160,248"
4633694,Spider-Man: Into the Spider-Verse,2018,117,PG,"$190,241,310"
0169547,American Beauty,1999,122,R,"$130,096,601"
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,"$9,440,272"
1345836,The Dark Knight Rises,2012,164,PG-13,"$448,149,584"
0364569,Oldeuboi,2003,120,R,"$707,481"
0361748,Inglourious Basterds,2009,153,R,"$120,540,719"
0086879,Amadeus,1984,160,PG,"$51,973,029"
2380307,Coco,2017,105,PG,"$210,460,015"
0114709,Toy Story,1995,81,G,"$223,225,679"
0112573,Braveheart,1995,178,R,"$75,609,945"
7286456,Joker,2019,122,R,"$335,477,657"
0082096,Das Boot,1981,149,,"$11,487,676"
4154796,Avengers: Endgame,2019,181,PG-13,"$858,373,000"
0119698,Mononoke-hime,1997,134,PG-13,"$4,845,631"
0087843,Once Upon a Time in America,1984,229,R,"$5,321,508"
0119217,Good Will Hunting,1997,126,R,"$138,433,435"
5311514,Kimi no na wa.,2016,106,TV-PG,"$5,017,246"
0045152,Singin' in the Rain,1952,103,G,"$1,884,537"
1187043,3 Idiots,2009,170,PG-13,"$6,532,874"
0180093,Requiem for a Dream,2000,102,Unrated,"$3,635,482"
0057565,Tengoku to jigoku,1963,143,Not Rated,"$15,942"
0435761,Toy Story 3,2010,103,G,"$415,004,880"
8267604,Capharnaüm,2018,126,R,"$1,661,096"
0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,PG,"$309,306,177"
0062622,2001: A Space Odyssey,1968,149,G,"$60,481,243"
0338013,Eternal Sunshine of the Spotless Mind,2004,108,R,"$34,400,301"
0091251,Idi i smotri,1985,142,Not Rated,"$16,053"
0105236,Reservoir Dogs,1992,99,R,"$2,832,029"
2106476,Jagten,2012,115,R,"$613,308"
0033467,Citizen Kane,1941,119,PG,"$1,627,530"
0056172,Lawrence of Arabia,1962,218,Approved,"$45,306,425"
0022100,M - Eine Stadt sucht einen Mörder,1931,117,Passed,"$6,123"
0044741,Ikiru,1952,143,Not Rated,"$2,149"
0053125,North by Northwest,1959,136,Approved,"$66,728"
0052357,Vertigo,1958,128,PG,"$7,705,225"
0053604,The Apartment,1960,125,Approved,"$18,600,000"
0211915,Le fabuleux destin d'Amélie Poulain,2001,122,R,"$33,225,499"
0036775,Double Indemnity,1944,107,Passed,"$14,651"
0066921,A Clockwork Orange,1971,136,X,"$26,617,553"
0093058,Full Metal Jacket,1987,116,R,"$46,357,676"
0086250,Scarface,1983,170,R,"$45,408,703"
8503618,Hamilton,2020,160,PG-13,
1255953,Incendies,2010,131,R,"$2,071,334"
0113277,Heat,1995,170,R,"$67,436,818"
0056592,To Kill a Mockingbird,1962,129,Approved,"$592,237"
