person_id,name
0001104,Frank Darabont
0000175,Stephen King
0000209,Tim Robbins
0000151,Morgan Freeman
0348409,Bob Gunton
0000338,Francis Ford Coppola
0701374,Mario Puzo
0000008,Marlon Brando
0000199,Al Pacino
0001001,James Caan
0634240,Christopher Nolan
0634300,Jonathan Nolan
0275286,David S. Goyer
0000288,Christian Bale
0005132,Heath Ledger
0001173,Aaron Eckhart
0000134,Robert De Niro
0000380,Robert Duvall
0001486,Sidney Lumet
0741627,Reginald Rose
0000020,Henry Fonda
0002011,Lee J. Cobb
0000842,Martin Balsam
0000229,Steven Spielberg
0447745,Thomas Keneally
0001873,Steven Zaillian
0000553,Liam Neeson
0000146,Ralph Fiennes
0001426,Ben Kingsley
0001392,Peter Jackson
0866058,J.R.R. Tolkien
0909638,Fran Walsh
0101991,Philippa Boyens
0000704,Elijah Wood
0001557,Viggo Mortensen
0005212,Ian McKellen
0000233,Quentin Tarantino
0000812,Roger Avary
0000237,John Travolta
0000235,Uma Thurman
0000168,Samuel L. Jackson
0089217,Orlando Bloom
0001466,Sergio Leone
0898812,Luciano Vincenzoni
0408488,Agenore Incrocci
0000142,Clint Eastwood
0908919,Eli Wallach
0001812,Lee Van Cleef
0000709,Robert Zemeckis
0343165,Winston Groom
0744839,Eric Roth
0000158,Tom Hanks
0000705,Robin Wright
0000641,Gary Sinise
0000399,David Fincher
0657333,Chuck Palahniuk
0880243,Jim Uhls
0000093,Brad Pitt
0001570,Edward Norton
0001533,Meat Loaf
0000138,Leonardo DiCaprio
0330687,Joseph Gordon-Levitt
0680983,Elliot Page
0449984,Irvin Kershner
0102824,Leigh Brackett
0001410,Lawrence Kasdan
0000184,George Lucas
0000434,Mark Hamill
0000148,Harrison Ford
0000402,Carrie Fisher
0905154,Lana Wachowski
0905152,Lilly Wachowski
0000206,Keanu Reeves
0000401,Laurence Fishburne
0005251,Carrie-Anne Moss
0000217,Martin Scorsese
0683380,Nicholas Pileggi
0000501,Ray Liotta
0000582,Joe Pesci
0001232,Milos Forman
0369142,Lawrence Hauben
0325743,Bo Goldman
0450181,Ken Kesey
0000197,Jack Nicholson
0001221,Louise Fletcher
0077720,Michael Berryman
0001825,Andrew Kevin Walker
0000228,Kevin Spacey
0001008,Frank Capra
0329304,Frances Goodrich
0352443,Albert Hackett
0000071,James Stewart
0001656,Donna Reed
0000859,Lionel Barrymore
0000041,Akira Kurosawa
0368074,Shinobu Hashimoto
0644823,Hideo Oguni
0001536,Toshirô Mifune
0793766,Takashi Shimura
0875477,Keiko Tsushima
0001129,Jonathan Demme
0365383,Thomas Harris
0848217,Ted Tally
0000149,Jodie Foster
0000164,Anthony Hopkins
0095029,Lawrence A. Bonney
0734441,Robert Rodat
0000354,Matt Damon
0001744,Tom Sizemore
0576987,Fernando Meirelles
0526199,Kátia Lund
0513130,Paulo Lins
1130251,Bráulio Mantovani
1179105,Alexandre Rodrigues
1129884,Leandro Firmino
0618690,Matheus Nachtergaele
0000190,Matthew McConaughey
0004266,Anne Hathaway
1567113,Jessica Chastain
